Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,"Honolulu, HI, United States",103.65,65.07,85.56,114.92,94.28,89.24
,"New York, NY, United States",100,100,100,100,100,100
,"Santa Barbara, CA, United States",95.01,78.42,87.23,99.53,99.41,93.86
,"Berkeley, CA, United States",94.36,88.22,91.48,106.23,78.85,85.78
,"San Francisco, CA, United States",93.91,108.42,100.72,97.05,93.4,133.16
,"Oakland, CA, United States",92.93,87.79,90.52,98.46,78.71,111.73
,"Anchorage, AK, United States",91.23,39.29,66.88,97.95,78.76,118.63
,"Santa Clara, CA, United States",89.41,90.39,89.87,100.63,73.46,155.41
,"Seattle, WA, United States",88.52,65.84,77.89,87.34,93.09,145.39
,"Boston, MA, United States",85.47,78.26,82.09,85.4,90.86,115.72
,"Queens, NY, United States",84.02,69.36,77.15,79.19,83.16,105.72
,"Washington, DC, United States",83.74,73.47,78.93,83.86,82.36,121.83
,"Pittsburgh, PA, United States",82.36,39.14,62.1,89.37,68.36,115.5
,"Jersey City, NJ, United States",80.79,63,72.45,81.67,73.28,155.89
,"Philadelphia, PA, United States",79.19,49.57,65.31,81.67,71.07,115.61
,"Los Angeles, CA, United States",79.19,74.48,76.98,75.94,91.73,126.12
,"Minneapolis, MN, United States",79.08,47.05,64.07,79.07,78.57,114.68
,"Birmingham, AL, United States",78.82,28.19,55.09,84.3,75.48,84.93
,"Miami, FL, United States",78,64.96,71.88,76.72,79.18,93.71
,"Sacramento, CA, United States",77.88,50.55,65.07,80.84,70.23,101.43
,"Charleston, SC, United States",77.26,48.61,63.83,77.13,78.68,121.26
,"Asheville, NC, United States",77.25,45.36,62.3,85.59,71.12,94.16
,"Chicago, IL, United States",77.06,57.25,67.77,73.3,76.34,135.26
,"Fort Lauderdale, FL, United States",76.86,56.56,67.35,81.28,82.48,101.32
,"Portland, OR, United States",76.83,52.91,65.62,75.46,74.61,108.09
,"Atlanta, GA, United States",76.6,48.58,63.47,78,70.94,130.67
